la,la_code,county,region,country,force,force_code,Mixed_Asian_stopped,Mixed_Asian_not_stopped,Mixed_Asian_population,Mixed_Asian_stop_rate,White_stopped,White_not_stopped,White_population,White_stop_rate,or,or_ci_low,or_ci_upp,rr,rr_ci_low,rr_ci_upp,warning,stats_altered_flag
Torbay,E06000027,NA,South West,England,Devon & Cornwall,E23000035,0,679,679,0,806,132997,133803,0.6023781230615157,0,0,0.9009505043566318,0,0,NA,Chi-squared approximation may be incorrect,0
Swindon,E06000030,NA,South West,England,Wiltshire,E23000038,5,1689,1694,0.29515938606847697,163,189265,189428,0.08604852503325802,3.4372882198833117,1.099910613128773,8.201068615658784,3.4301504407472057,1.410615346398079,8.340992515218163,Chi-squared approximation may be incorrect,0
Peterborough,E06000031,NA,East of England,England,Cambridgeshire,E23000023,11,2010,2021,0.5442850074220682,514,160578,161092,0.31907233133861396,1.709685377983113,0.8467400631869579,3.091879871025048,1.7058358057516696,0.9402846063700134,3.0946755657503306,NA,0
Luton,E06000032,NA,East of England,England,Bedfordshire,E23000026,7,2422,2429,0.2881844380403458,655,100097,100752,0.6501111640463713,0.44167828949830773,0.17669548141892455,0.9166267387139804,0.4432848626174186,0.2107254430594977,0.9324999704485714,NA,0
Southend-on-Sea,E06000033,NA,East of England,England,Essex,E23000028,2,1525,1527,0.13097576948264572,1158,156574,157732,0.7341566708087135,0.1773340290713039,0.02143108457586371,0.6431181038475503,0.1784030230745827,0.04460566847981156,0.7135334975767756,NA,0
Thurrock,E06000034,NA,East of England,England,Essex,E23000028,1,1098,1099,0.09099181073703368,726,133508,134234,0.5408465813430279,0.1674874662136577,0.004234111074289197,0.9380813889266196,0.1682395967283055,0.02368813685409593,1.1948834170302722,NA,0
Medway,E06000035,NA,South East,England,Kent,E23000032,12,2146,2158,0.5560704355885079,1057,233472,234529,0.4506905329404893,1.2351225199145661,0.6351459292870864,2.1711946814671816,1.2338187624232466,0.69956217031846335,2.1760878490822733,NA,0
Bracknell Forest,E06000036,NA,South East,England,Thames Valley,E23000029,5,1332,1337,0.3739715781600598,244,106700,106944,0.22815679233991623,1.6414746187735163,0.5273903971434999,3.892512457154772,1.6390990350307146,0.6772825100993786,3.9668020457879605,Chi-squared approximation may be incorrect,0
West Berkshire,E06000037,NA,South East,England,Thames Valley,E23000029,7,1267,1274,0.5494505494505495,1051,146985,148036,0.7099624415682672,0.772666956440719,0.30925253169270794,1.6023660196391156,0.7739149527922126,0.36879872929983504,1.6240412630826286,NA,0
Reading,E06000038,NA,South East,England,Thames Valley,E23000029,7,2110,2117,0.33065658951346244,761,115445,116206,0.6548715212639623,0.5032771990091478,0.20141289696330708,1.0438590154175065,0.5049182607227518,0.24019303661729705,1.0614064987133336,NA,0
Slough,E06000039,NA,South East,England,Thames Valley,E23000029,24,1921,1945,1.2339331619537275,543,55997,56540,0.9603820304209408,1.2883860840011563,0.816219815900018,1.9434903722923709,1.284835745430272,0.8558290397198741,1.9288932907391123,NA,0
Windsor and Maidenhead,E06000040,NA,South East,England,Thames Valley,E23000029,7,2188,2195,0.31890660592255127,546,121521,122067,0.4472953378062867,0.7120495103906657,0.28458865670124134,1.4795977318408033,0.7129665323287191,0.3386949811055816,1.5008231729964108,NA,0
Wokingham,E06000041,NA,South East,England,Thames Valley,E23000029,3,2209,2212,0.13562386980108498,222,141119,141341,0.15706695155687309,0.8632934339446056,0.17654240512329164,2.559099646166943,0.8634780802502322,0.2765902020246861,2.6956645232360072,Chi-squared approximation may be incorrect,0
Milton Keynes,E06000042,NA,South East,England,Thames Valley,E23000029,14,2959,2973,0.4709048099562731,872,204508,205380,0.424578829486805,1.1096252561207038,0.6033223636640361,1.8748782138974824,1.1091104342754514,0.6549413206769893,1.8782231576824981,NA,0
Brighton and Hove,E06000043,NA,South East,England,Sussex,E23000033,17,4181,4198,0.40495474035254886,1392,234195,235587,0.5908645213870035,0.6840808018452805,0.3969856359980038,1.1006529981470508,0.6853597156281317,0.4252441858066607,1.104584037791955,NA,0
Southampton,E06000045,NA,South East,England,Hampshire,E23000030,20,2424,2444,0.8183306055646482,1827,198084,199911,0.913906688476372,0.8945578398670164,0.5440922904791626,1.3888190944892926,0.895420304811354,0.5773500028227931,1.3887200456367692,NA,0
County Durham,E06000047,NA,North East,England,Durham,E23000008,3,1959,1962,0.1529051987767584,2141,502375,504516,0.42436711620642364,0.35933983014607535,0.07397554319140291,1.0530642949123215,0.36031349493720244,0.11621761606858969,1.1170923912020398,NA,0
Cheshire East,E06000049,NA,North West,England,Cheshire,E23000006,3,2470,2473,0.1213101496158512,789,374991,375780,0.20996327638511894,0.577256200147125,0.11867889733834788,1.6951660875612655,0.5777684160030997,0.18607092320610047,1.7940274427562282,NA,0
Cheshire West and Chester,E06000050,NA,North West,England,Cheshire,E23000006,4,1957,1961,0.2039775624681285,742,339044,339786,0.21837274048960229,0.9339452267403221,0.2535275071805949,2.405138967625547,0.9340797849163816,0.3500041486978499,2.4928420072604514,Chi-squared approximation may be incorrect,0
Shropshire,E06000051,NA,West Midlands,England,West Mercia,E23000016,1,1258,1259,0.07942811755361398,480,311889,312369,0.15366441612323886,0.51651013005534685,0.0130424050906119,2.8965397214005595,0.5168933677521843,0.07271974264949564,3.6740882722038606,Chi-squared approximation may be incorrect,0
Wiltshire,E06000054,NA,South West,England,Wiltshire,E23000038,0,2703,2703,0,75,480367,480442,0.015610625215946984,0,0,8.966110195192586,0,0,NA,Chi-squared approximation may be incorrect,0
Bedford,E06000055,NA,East of England,England,Bedfordshire,E23000026,5,2141,2146,0.2329916123019571,581,138902,139483,0.41653821612669645,0.5583246239008258,0.18042536293398395,1.3125134360353978,0.5593523073788964,0.2321831369033884,1.3475354323440079,NA,0
Central Bedfordshire,E06000056,NA,East of England,England,Bedfordshire,E23000026,2,2570,2572,0.07776049766718507,434,264378,264812,0.16388985393411176,0.4740751208641583,0.05720308076828246,1.7245747561042795,0.47446803936042886,0.11834968943893381,1.90215894474896,Chi-squared approximation may be incorrect,0
"Bournemouth, Christchurch and Poole",E06000058,NA,South West,England,Dorset,E23000039,3,3210,3213,0.09337068160597572,531,363626,364157,0.14581622761611063,0.6399956515382738,0.13149349425449594,1.8821104603203664,0.6403312109526799,0.20597181293307812,1.9906804425387348,Chi-squared approximation may be incorrect,0
Dorset,E06000059,NA,South West,England,Dorset,E23000039,7,1628,1635,0.42813455657492355,346,367328,367674,0.0941051039779805,4.564730460781358,1.8187649977623679,9.52530292995597,4.549535981333192,2.1562078488709453,9.599388879083998,Chi-squared approximation may be incorrect,0
Buckinghamshire,E06000060,NA,South East,England,Thames Valley,E23000029,23,6721,6744,0.34104389086595494,985,440006,440991,0.22336056744922234,1.5286432333984183,0.9637818246601172,2.309044394076498,1.5268760048413026,1.0105545446108588,2.307000989301262,NA,0
North Northamptonshire,E06000061,NA,East Midlands,England,Northamptonshire,E23000022,8,1918,1926,0.4153686396677051,1593,321970,323563,0.4923307053031403,0.8430264816407903,0.3628174939657032,1.6684678970552171,0.8436781114676816,0.42179816325927777,1.6875198086913845,NA,0
West Northamptonshire,E06000062,NA,East Midlands,England,Northamptonshire,E23000022,4,2716,2720,0.14705882352941177,1404,362605,364009,0.3857047490584024,0.38037396652215044,0.10340363300566276,0.9771444352120845,0.38127304340539636,0.1430027667642045,1.016547699858917,NA,0
Cambridge,E07000008,Cambridgeshire,East of England,England,Cambridgeshire,E23000023,3,2984,2987,0.1004352192835621,368,107207,107575,0.342086916105043,0.29288472379407293,0.06009634682395981,0.8635210493436856,0.2935956172399237,0.09431086232197644,0.9139815323521405,NA,0
East Cambridgeshire,E07000009,Cambridgeshire,East of England,England,Cambridgeshire,E23000023,0,618,618,0,87,82442,82529,0.10541748960971294,0,0,5.794444507672832,0,0,NA,Chi-squared approximation may be incorrect,0
Fenland,E07000010,Cambridgeshire,East of England,England,Cambridgeshire,E23000023,1,381,382,0.2617801047120419,260,97260,97520,0.2666119770303527,0.9818293766109286,0.024699692781841375,5.552192433018456,0.9818767619814741,0.1381456367825129,6.978736340670749,Chi-squared approximation may be incorrect,0
Huntingdonshire,E07000011,Cambridgeshire,East of England,England,Cambridgeshire,E23000023,0,1220,1220,0,439,166277,166716,0.2633220566712253,0,0,1.1518488856334765,0,0,NA,Chi-squared approximation may be incorrect,0
Allerdale,E07000026,Cumbria,North West,England,Cumbria,E23000002,3,238,241,1.2448132780082988,980,93601,94581,1.036148909400408,1.2039181477828451,0.24609396163205824,3.571575168652594,1.2013845372173766,0.3895475031028926,3.7051317099156957,Chi-squared approximation may be incorrect,0
Barrow-in-Furness,E07000027,Cumbria,North West,England,Cumbria,E23000002,1,226,227,0.4405286343612335,941,64433,65374,1.4394101630617677,0.3030014991295256,0.007632330358591238,1.7094159829024829,0.30604802277078935,0.04325321106377792,2.1655130321722855,Chi-squared approximation may be incorrect,0
Carlisle,E07000028,Cumbria,North West,England,Cumbria,E23000002,4,344,348,1.1494252873563218,2097,104139,106236,1.9739071501186038,0.5774545023505581,0.1562999651467238,1.494208041261867,0.58230970351734,0.21958682898815732,1.544193667593514,NA,0
Copeland,E07000029,Cumbria,North West,England,Cumbria,E23000002,2,173,175,1.1428571428571428,611,65069,65680,0.9302679658952496,1.2311597586143659,0.14760093378673983,4.533877904714593,1.2285246668225394,0.30900250947685465,4.884338510864039,Chi-squared approximation may be incorrect,0
Eden,E07000030,Cumbria,North West,England,Cumbria,E23000002,4,130,134,2.9850746268656714,820,52800,53620,1.5292801193584484,1.9812032252162635,0.5305678095052765,5.21503706647214,1.9519475791772842,0.7417050801331097,5.136946549122035,Chi-squared approximation may be incorrect,0
South Lakeland,E07000031,Cumbria,North West,England,Cumbria,E23000002,3,360,363,0.8264462809917356,836,101082,101918,0.8202672736906139,1.0075964238402093,0.20639923164176763,2.9783272937005187,1.0075329194511449,0.3258182283231146,3.1156101639931824,Chi-squared approximation may be incorrect,0
Amber Valley,E07000032,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,467,467,0,173,122493,122666,0.14103337518138684,0,0,5.674696987733247,0,0,NA,Chi-squared approximation may be incorrect,0
Bolsover,E07000033,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,190,190,0,82,77931,78013,0.10511068668042506,0,0,19.05287169748537,0,0,NA,Chi-squared approximation may be incorrect,0
Chesterfield,E07000034,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,363,363,0,182,98607,98789,0.1842310378685886,0,0,5.589482358112504,0,0,NA,Chi-squared approximation may be incorrect,0
Derbyshire Dales,E07000035,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,290,290,0,215,69678,69893,0.3076130656861202,0,0,4.184368920027354,0,0,NA,Chi-squared approximation may be incorrect,0
Erewash,E07000036,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,518,518,0,106,107565,107671,0.09844805007847982,0,0,7.381084797026042,0,0,NA,Chi-squared approximation may be incorrect,0
High Peak,E07000037,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,377,377,0,116,88466,88582,0.13095211216725744,0,0,7.620197903104705,0,0,NA,Chi-squared approximation may be incorrect,0
North East Derbyshire,E07000038,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,372,372,0,73,99234,99307,0.07350942028255812,0,0,13.889183377903723,0,0,NA,Chi-squared approximation may be incorrect,0
South Derbyshire,E07000039,Derbyshire,East Midlands,England,Derbyshire,E23000018,0,616,616,0,87,99627,99714,0.08724953366628557,0,0,7.025641283589454,0,0,NA,Chi-squared approximation may be incorrect,0
East Devon,E07000040,Devon,South West,England,Devon & Cornwall,E23000035,1,623,624,0.16025641025641024,233,146411,146644,0.15888819181146177,1.008626031833788,0.025388163701670324,5.69581936181909,1.0086112028172114,0.14170375248695002,7.1790375384876866,Chi-squared approximation may be incorrect,0
Exeter,E07000041,Devon,South West,England,Devon & Cornwall,E23000035,1,1304,1305,0.07662835249042146,719,117034,117753,0.610600154560818,0.12483114977963333,0.0031571928936859877,0.6989356905008031,0.12549677873163556,0.0176672472306501,0.891448524289291,NA,0
Mid Devon,E07000042,Devon,South West,England,Devon & Cornwall,E23000035,0,319,319,0,84,80795,80879,0.10385885087599994,0,0,11.436857630126719,0,0,NA,Chi-squared approximation may be incorrect,0
North Devon,E07000043,Devon,South West,England,Devon & Cornwall,E23000035,0,417,417,0,200,95327,95527,0.2093648916013274,0,0,4.274270771797207,0,0,NA,Chi-squared approximation may be incorrect,0
Teignbridge,E07000045,Devon,South West,England,Devon & Cornwall,E23000035,0,568,568,0,203,131295,131498,0.15437497148245602,0,0,4.252549543523014,0,0,NA,Chi-squared approximation may be incorrect,0
West Devon,E07000047,Devon,South West,England,Devon & Cornwall,E23000035,0,223,223,0,60,55713,55773,0.10757893604432252,0,0,15.966956991839826,0,0,NA,Chi-squared approximation may be incorrect,0
Eastbourne,E07000061,East Sussex,South East,England,Sussex,E23000033,3,809,812,0.3694581280788177,588,91541,92129,0.638235517589467,0.5773151168121985,0.1184371962698051,1.7015761938421445,0.5788742837036291,0.18655422619495526,1.7962361034008634,NA,0
Hastings,E07000062,East Sussex,South East,England,Sussex,E23000033,3,721,724,0.4143646408839779,302,82597,82899,0.36429872495446264,1.1379995385717998,0.23281389319963258,3.370996666805712,1.1374309392265194,0.36565520760122794,3.5381668703612283,Chi-squared approximation may be incorrect,0
Lewes,E07000063,East Sussex,South East,England,Sussex,E23000033,1,794,795,0.12578616352201258,137,93797,93934,0.1458470841228948,0.8622803808860391,0.021647863710101318,4.899078089245104,0.8624523711150898,0.12077324580848776,6.158848240458281,Chi-squared approximation may be incorrect,0
Rother,E07000064,East Sussex,South East,England,Sussex,E23000033,1,567,568,0.17605633802816903,93,88685,88778,0.10475568271418594,1.6818165632393816,0.0420598853863938,9.641859419135859,1.6806375889747087,0.23467066915215615,12.036198284513091,Chi-squared approximation may be incorrect,0
Wealden,E07000065,East Sussex,South East,England,Sussex,E23000033,1,1059,1060,0.09433962264150944,159,153149,153308,0.10371278733008062,0.9095390175484457,0.022864067155146862,5.1518864143628385,0.9096238281713541,0.12746497419758535,6.491316645893013,Chi-squared approximation may be incorrect,0
Basildon,E07000066,Essex,East of England,England,Essex,E23000028,5,1138,1143,0.4374453193350831,1158,162440,163598,0.7078326140906368,0.6163297038641494,0.199358327952242,1.4466898391341037,0.618006730160457,0.2572414237415178,1.4847232337953258,NA,0
Braintree,E07000067,Essex,East of England,England,Essex,E23000028,5,875,880,0.5681818181818182,982,145771,146753,0.669151567599981,0.848246411556515,0.274116905000083,1.9939451249963123,0.8491078041103499,0.3535190020981422,2.039449248051861,NA,0
Brentwood,E07000068,Essex,East of England,England,Essex,E23000028,3,806,809,0.3708281829419036,292,67730,68022,0.4292728823027844,0.863346788944484,0.17663707839020948,2.55709325741892,0.8638518719203482,0.2775862523785964,2.688317775919616,Chi-squared approximation may be incorrect,0
Castle Point,E07000069,Essex,East of England,England,Essex,E23000028,0,419,419,0,341,84577,84918,0.40156386160766855,0,0,2.205169837127683,0,0,NA,Chi-squared approximation may be incorrect,0
Chelmsford,E07000070,Essex,East of England,England,Essex,E23000028,5,1433,1438,0.34770514603616137,911,159388,160299,0.5683129651463826,0.6104667503711957,0.1974390351526351,1.4331826332651711,0.6118198375900179,0.25443563242482503,1.4711913976092663,NA,0
Colchester,E07000071,Essex,East of England,England,Essex,E23000028,9,1650,1659,0.5424954792043399,1180,166102,167282,0.7053956791525687,0.7678067993966853,0.3496147935229436,1.4661249096978843,0.7690654979005118,0.3998755611261616,1.4791144985085865,NA,0
Epping Forest,E07000072,Essex,East of England,England,Essex,E23000028,1,1305,1306,0.0765696784073507,314,112853,113167,0.2774660457553881,0.2754187170519065,0.006948594298745832,1.5484093116681164,0.27596053491479794,0.038781113780243986,1.9636933911180285,Chi-squared approximation may be incorrect,0
Harlow,E07000073,Essex,East of England,England,Essex,E23000028,1,622,623,0.16051364365971107,668,76171,76839,0.8693501997683468,0.18333528094221938,0.004630540615194845,1.0287221796274295,0.1846363452869542,0.026011608731677068,1.3105909885307363,NA,0
Maldon,E07000074,Essex,East of England,England,Essex,E23000028,0,328,328,0,141,63768,63909,0.22062620288222315,0,0,5.1827654792544084,0,0,NA,Chi-squared approximation may be incorrect,0
